id,identifier,name,parent
2223,9x20,9×20,2133
2224,10x11,10×11,2133
2225,10x12,10×12,2133
2226,10x13,10×13,2133
2227,10x14,10×14,2133
2228,10x15,10×15,2133
2229,10x16,10×16,2133
2230,10x17,10×17,2133
2231,10x18,10×18,2133
2232,10x19,10×19,2133
2233,10x20,10×20,2133
2234,division,Dělení,1869
2235,division1,Dělení malých čísel,2234
2236,1/1,1÷1,2235
2237,2/2,2÷2,2235
2238,3/3,3÷3,2235
2239,4/4,4÷4,2235
2240,5/5,5÷5,2235
2241,6/6,6÷6,2235
2242,7/7,7÷7,2235
2243,8/8,8÷8,2235
2244,9/9,9÷9,2235
2245,10/10,10÷10,2235
2246,2/1,2÷1,2235
2247,4/2,4÷2,2235
2248,6/3,6÷3,2235
2249,8/4,8÷4,2235
2250,10/5,10÷5,2235
2251,12/6,12÷6,2235
2252,14/7,14÷7,2235
2253,16/8,16÷8,2235
2254,18/9,18÷9,2235
2255,20/10,20÷10,2235
2256,3/1,3÷1,2235
2257,6/2,6÷2,2235
2258,9/3,9÷3,2235
2259,12/4,12÷4,2235
2260,15/5,15÷5,2235
2261,18/6,18÷6,2235
2262,21/7,21÷7,2235
2263,24/8,24÷8,2235
2264,27/9,27÷9,2235
2265,30/10,30÷10,2235
2266,4/1,4÷1,2235
2267,8/2,8÷2,2235
2268,12/3,12÷3,2235
2269,16/4,16÷4,2235
2270,20/5,20÷5,2235
2271,24/6,24÷6,2235
2272,28/7,28÷7,2235
2273,32/8,32÷8,2235
2274,36/9,36÷9,2235
2275,40/10,40÷10,2235
2276,5/1,5÷1,2235
2277,10/2,10÷2,2235
2278,15/3,15÷3,2235
2279,20/4,20÷4,2235
2280,25/5,25÷5,2235
2281,30/6,30÷6,2235
2282,35/7,35÷7,2235
2283,40/8,40÷8,2235
2284,45/9,45÷9,2235
2285,50/10,50÷10,2235
2286,6/1,6÷1,2235
2287,12/2,12÷2,2235
2288,18/3,18÷3,2235
2289,24/4,24÷4,2235
2290,30/5,30÷5,2235
2291,36/6,36÷6,2235
2292,42/7,42÷7,2235
2293,48/8,48÷8,2235
2294,54/9,54÷9,2235
2295,60/10,60÷10,2235
2296,7/1,7÷1,2235
2297,14/2,14÷2,2235
2298,21/3,21÷3,2235
2299,28/4,28÷4,2235
2300,35/5,35÷5,2235
2301,42/6,42÷6,2235
2302,49/7,49÷7,2235
2303,56/8,56÷8,2235
2304,63/9,63÷9,2235
2305,70/10,70÷10,2235
2306,8/1,8÷1,2235
2307,16/2,16÷2,2235
2308,24/3,24÷3,2235
2309,32/4,32÷4,2235
2310,40/5,40÷5,2235
2311,48/6,48÷6,2235
2312,56/7,56÷7,2235
2313,64/8,64÷8,2235
2314,72/9,72÷9,2235
2315,80/10,80÷10,2235
2316,9/1,9÷1,2235
2317,18/2,18÷2,2235
2318,27/3,27÷3,2235
2319,36/4,36÷4,2235
2320,45/5,45÷5,2235
2321,54/6,54÷6,2235
2322,63/7,63÷7,2235
2323,72/8,72÷8,2235
2324,81/9,81÷9,2235
2325,90/10,90÷10,2235
2326,10/1,10÷1,2235
2327,20/2,20÷2,2235
2328,30/3,30÷3,2235
2329,40/4,40÷4,2235
2330,50/5,50÷5,2235
2331,60/6,60÷6,2235
2332,70/7,70÷7,2235
2333,80/8,80÷8,2235
2334,90/9,90÷9,2235
2335,100/10,100÷10,2235
